id,name,email,country,region,loyalty_tier,carbon_offset_opt_in
1,Ashley Yang,williamsmichelle@example.org,GERMANY,EUROPE,GOLD,FALSE
2,Jack Mora,sarahmathews@example.net,UNITED STATES,AMERICA,GREEN,TRUE
3,Michelle Rios,marcbutler@example.net,GERMANY,EUROPE,GOLD,FALSE
4,Roger Duncan,shawrachel@example.org,NETHERLANDS,EUROPE,NONE,TRUE
5,Jose Williams,djones@example.com,AUSTRALIA,APAC,NONE,FALSE
6,Emily Miller,msmith@example.com,GERMANY,EUROPE,NONE,TRUE
7,Elizabeth Dean,frichardson@example.org,UNITED STATES,AMERICA,NONE,FALSE
8,Kimberly Flynn,adamortiz@example.org,UNITED STATES,AMERICA,NONE,TRUE
9,Makayla Steele,tapiaaaron@example.net,UNITED KINGDOM,EUROPE,GREEN,TRUE
10,Oscar Parker,alyssaallen@example.com,UNITED STATES,AMERICA,GREEN,FALSE
11,Valerie Thomas,christopher38@example.com,JAPAN,ASIA,NONE,FALSE
12,Jacqueline Villegas,carpenterwilliam@example.net,AUSTRALIA,APAC,NONE,TRUE
13,Angela Bradley,ibates@example.org,JAPAN,ASIA,GREEN,FALSE
14,Samuel Howe,vhaynes@example.com,SWEDEN,EUROPE,NONE,TRUE
15,Dillon Jones,derekcarrillo@example.org,UNITED STATES,AMERICA,NONE,TRUE
16,Christopher Owens,wmartinez@example.org,AUSTRALIA,APAC,NONE,FALSE
17,John Phelps,mooregina@example.net,FRANCE,EUROPE,NONE,FALSE
18,Amanda Huff,eddie35@example.com,UNITED STATES,AMERICA,SILVER,FALSE
19,Megan Green,anthonysullivan@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
20,Krista Davis,laradonald@example.org,UNITED STATES,AMERICA,GREEN,FALSE
21,Richard Walker,madisonwatson@example.net,CANADA,AMERICA,NONE,TRUE
22,Angela Willis,johnsoncaleb@example.net,UNITED STATES,AMERICA,GREEN,FALSE
23,Carl Stein,david70@example.org,JAPAN,ASIA,NONE,FALSE
24,Jessica Ramsey,rjohnson@example.com,FRANCE,EUROPE,NONE,TRUE
25,Daniel Lopez,sean20@example.net,SWEDEN,EUROPE,NONE,TRUE
26,Danielle Phillips,eandrade@example.org,UNITED STATES,AMERICA,NONE,FALSE
27,James Barnes,crystalpham@example.org,FRANCE,EUROPE,GREEN,TRUE
28,Rachael Howard DDS,kcooper@example.net,UNITED STATES,AMERICA,NONE,FALSE
29,Devin Johnson,anthonycochran@example.com,SPAIN,EUROPE,GREEN,TRUE
30,William Moreno,terrigarcia@example.net,CANADA,AMERICA,NONE,FALSE
31,Joseph Moody,gallagherstacie@example.net,UNITED STATES,AMERICA,GREEN,TRUE
32,Rebecca Kelly,gregorywatkins@example.net,UNITED KINGDOM,EUROPE,GOLD,FALSE
33,Suzanne Johnson,stacey92@example.net,FRANCE,EUROPE,NONE,TRUE
34,Sara Cochran,lweaver@example.com,FRANCE,EUROPE,SILVER,FALSE
35,Anthony Guzman,foxaaron@example.net,AUSTRALIA,APAC,SILVER,FALSE
36,Carlos Love,brian29@example.net,CANADA,AMERICA,NONE,FALSE
37,Patricia Mathis,susan56@example.net,GERMANY,EUROPE,GREEN,TRUE
38,Eric Taylor,jessicakim@example.net,GERMANY,EUROPE,NONE,FALSE
39,Marie Thompson,jeffrey92@example.com,UNITED STATES,AMERICA,NONE,TRUE
40,Michael Anderson,rushstacy@example.com,GERMANY,EUROPE,NONE,FALSE
41,Patricia Bradley,carriemccall@example.net,UNITED STATES,AMERICA,GREEN,FALSE
42,Keith Zuniga,markmiller@example.com,SPAIN,EUROPE,NONE,TRUE
43,Mrs. Stacey Davis,sean43@example.org,UNITED STATES,AMERICA,NONE,TRUE
44,Hayley Buchanan,williamssamuel@example.com,FRANCE,EUROPE,GREEN,TRUE
45,Stacey Snyder,ybell@example.org,AUSTRALIA,APAC,GOLD,FALSE
46,Rachel Lane,franciscojones@example.org,UNITED KINGDOM,EUROPE,NONE,TRUE
47,Fernando Lynn,petersonpamela@example.org,UNITED KINGDOM,EUROPE,NONE,TRUE
48,Kimberly Villanueva,morgantricia@example.com,UNITED STATES,AMERICA,GREEN,TRUE
49,Jessica Valdez,gmoore@example.com,JAPAN,ASIA,GREEN,TRUE
50,Colton Terry,donna43@example.org,FRANCE,EUROPE,NONE,FALSE
51,Kenneth Larsen,briansmith@example.org,UNITED KINGDOM,EUROPE,GREEN,FALSE
52,Matthew Greene,collinclark@example.net,UNITED KINGDOM,EUROPE,GREEN,FALSE
53,Bradley Anthony,kristen77@example.net,UNITED STATES,AMERICA,NONE,FALSE
54,Martin Hughes,nicole52@example.com,UNITED STATES,AMERICA,GOLD,TRUE
55,Jeremiah Baker,anne21@example.org,SWEDEN,EUROPE,GOLD,FALSE
56,Rhonda Gutierrez,angelarandall@example.net,FRANCE,EUROPE,GOLD,FALSE
57,Joseph Camacho,parmstrong@example.com,AUSTRALIA,APAC,GOLD,FALSE
58,James Nash,shawrachel@example.net,FRANCE,EUROPE,NONE,TRUE
59,Lisa Martinez,kthompson@example.org,UNITED STATES,AMERICA,NONE,FALSE
60,Beth Henderson,oharris@example.org,UNITED STATES,AMERICA,NONE,FALSE
61,Deanna Bartlett,millerangela@example.net,GERMANY,EUROPE,GREEN,FALSE
62,Donald Ellis,buchanancindy@example.net,FRANCE,EUROPE,GOLD,TRUE
63,Ashley Hernandez,buckleyanna@example.org,AUSTRALIA,APAC,SILVER,TRUE
64,Sharon Beard,pbaker@example.com,UNITED STATES,AMERICA,NONE,FALSE
65,Kara Jackson,mthomas@example.net,NETHERLANDS,EUROPE,GREEN,FALSE
66,Amanda Preston,hannah07@example.com,UNITED STATES,AMERICA,GREEN,TRUE
67,Alicia Roth,larry71@example.org,UNITED STATES,AMERICA,GOLD,TRUE
68,William Ramos,joseph69@example.net,GERMANY,EUROPE,SILVER,TRUE
69,Jeremy Mcintyre,wfigueroa@example.net,UNITED STATES,AMERICA,SILVER,FALSE
70,Samantha Robertson,cameronmckinney@example.com,FRANCE,EUROPE,GREEN,FALSE
71,Samuel Suarez,thompsonnancy@example.org,UNITED STATES,AMERICA,NONE,FALSE
72,Danielle Bryant,janet45@example.com,AUSTRALIA,APAC,NONE,FALSE
